1412154.410870397, 1412154.411024648, 1412154.41102598, 1412154.411142029, 1412154.411183988 
1412164.9031603502, 1412164.903172553, 1412164.903174176, 1412164.9032279472, 1412164.9032676022
1412168.9310052812, 1412168.931017003, 1412168.9310187872, 1412168.931079251, 1412168.9311637701
1412178.848260497, 1412178.8482728512, 1412178.848274965, 1412178.848335178, 1412178.8483904821
1412182.9055660071, 1412182.905577318, 1412182.9055790112, 1412182.905640126, 1412182.905699458
1412192.847132002, 1412192.8471478622, 1412192.847150207, 1412192.8472221822, 1412192.8472769952
1412196.9263309292, 1412196.926351577, 1412196.9263550842, 1412196.9264327502, 1412196.9264895872
1412207.2763150912, 1412207.276331312, 1412207.276333606, 1412207.2764112721, 1412207.2764531411
1412211.308303141, 1412211.308319923, 1412211.3083220872, 1412211.308394784, 1412211.3084494772
1412221.08011523, 1412221.080132082, 1412221.080134256, 1412221.0802046892, 1412221.08026351
