1495355.563032194, 1495355.5630459501, 1495355.5630473732, 1495355.5631194701,1495355.5631451982, 1495355.5631908951
1495365.402408306,1495365.402423815,1495365.402425979,1495365.402499699,1495365.402508636,1495365.402559072
1495369.402723025,1495369.402738915,1495369.402740959,1495369.402818687,1495369.402847521,1495369.4028958231
1495379.1687644122,1495379.168782106,1495379.1687843502,1495379.1688536422,1495379.168854994,1495379.1688882771
1495383.1910313012,1495383.191051599,1495383.1910543751,1495383.191127113,1495383.191149906,1495383.191192367
1495392.781306994,1495392.781324698,1495392.7813269822,1495392.781398267,1495392.781408567,1495392.781454494
1495396.761919083,1495396.7619400022,1495396.761942808,1495396.7620375182,1495396.762044531,1495396.7620869211
1495406.463016146,1495406.463034731,1495406.463037105,1495406.463108631,1495406.463112238,1495406.4631524242
1495410.4465131492,1495410.446533537,1495410.4465362232,1495410.446614812,1495410.446638827,1495410.446683282
1495420.2051973762,1495420.2052211622,1495420.205224107,1495420.205296745,1495420.2052932382,1495420.2053224142
